id,model_year,make,model,body_style,segment,fuel_type,city_mpg,highway_mpg,horsepower,engine_cylinders,engine_displacement_L,curb_weight_lbs,msrp_usd,transmission,drive_type,country_of_origin,safety_rating,reliability_score,highway_to_city_ratio
107,2002,Tesla,Model X,SUV,Midsize Luxury SUV,Electric,,,449,0,0.0,4878,67629,Automatic,4WD,USA,5,7.5,
108,2018,Volkswagen,Atlas,SUV,Midsize SUV,Gasoline,23.0,28.0,217,6,3.1,3887,49813,Manual,AWD,Germany,4,8.3,1.217
109,2020,Dodge,Charger,Sedan,Midsize,Gasoline,29.0,34.0,193,4,1.5,3544,40035,Automatic,AWD,USA,5,7.3,1.172
110,2020,Mazda,CX-30,SUV,Midsize SUV,Gasoline,24.0,32.0,207,6,2.9,3584,44407,Automatic,RWD,Japan,3,5.5,1.333
111,2006,Audi,A4,Sedan,Compact Luxury,Gasoline,23.0,29.0,266,4,1.5,3690,50632,Automatic,RWD,Germany,5,9.6,1.261
112,2011,Hyundai,Tucson,SUV,Midsize SUV,Electric,,,312,0,0.0,4353,50839,Automatic,4WD,South Korea,4,5.9,
113,2016,Dodge,Dart,Sedan,Midsize,Gasoline,28.0,34.0,162,4,1.5,3202,36235,Automatic,FWD,USA,4,7.0,1.214
114,2022,Ram,2500,Truck,Midsize Truck,Gasoline,24.0,30.0,309,8,4.3,4606,45617,Automatic,AWD,USA,3,6.4,1.25
115,2016,Jeep,Gladiator,Truck,Midsize Truck,Gasoline,19.0,23.0,223,4,1.5,4227,36421,Automatic,FWD,USA,4,7.9,1.211
116,2011,BMW,4 Series,Coupe,Compact Luxury,Gasoline,24.0,30.0,263,6,2.9,3650,46722,Automatic,AWD,Germany,4,8.8,1.25
117,2003,Jeep,Commander,SUV,Midsize SUV,Gasoline,22.0,27.0,190,4,1.5,3865,46841,Automatic,4WD,USA,5,4.4,1.227
118,2021,GMC,Terrain,SUV,Midsize SUV,Gasoline,25.0,33.0,224,6,3.2,3855,54644,Manual,4WD,USA,5,5.7,1.32
119,2003,Lexus,GX,SUV,Midsize SUV,Gasoline,22.0,28.0,207,6,3.1,3932,44518,Automatic,AWD,Japan,3,5.6,1.273
120,2013,Dodge,Caliber,Hatchback,Compact,Gasoline,31.0,42.0,199,4,1.5,3339,28499,Automatic,AWD,USA,5,6.2,1.355
121,2013,Mercedes-Benz,GLC,SUV,Compact Luxury SUV,Diesel,27.0,33.0,282,6,3.0,4068,66561,Automatic,FWD,Germany,5,7.5,1.222
122,2004,Mazda,MX-5,Convertible,Compact,Gasoline,31.0,41.0,170,4,1.5,3258,21719,Automatic,AWD,Japan,4,6.4,1.323
123,2000,Volvo,XC90,SUV,Midsize SUV,Gasoline,24.0,31.0,228,6,2.9,3901,40486,Automatic,FWD,Sweden,5,7.1,1.292
124,2014,Jeep,Renegade,SUV,Midsize SUV,Gasoline,24.0,32.0,238,6,3.0,4273,44774,Automatic,FWD,USA,5,9.5,1.333
125,2016,BMW,M3,Sedan,Sports Luxury,Diesel,23.0,28.0,567,8,4.4,3595,89936,Automatic,RWD,Germany,4,8.1,1.217
126,2023,Subaru,Tribeca,SUV,Midsize SUV,Gasoline,23.0,28.0,267,6,2.9,4659,45332,Manual,RWD,Japan,5,7.5,1.217
127,2011,Audi,TT,Coupe,Sports Luxury,Gasoline,21.0,28.0,562,12,5.9,3572,77104,Automatic,AWD,Germany,5,7.1,1.333
128,2012,Volkswagen,Jetta,Sedan,Midsize,Gasoline,23.0,30.0,199,4,1.7,3738,36651,Automatic,AWD,Germany,5,8.3,1.304
129,2003,Honda,CR-V,SUV,Compact SUV,Gasoline,21.0,27.0,203,6,3.0,3325,31214,Automatic,4WD,Japan,5,8.1,1.286
130,2016,BMW,X7,SUV,Full-size Luxury SUV,Gasoline,14.0,17.0,418,8,4.3,5722,115273,Automatic,FWD,Germany,4,6.5,1.214
131,2010,Toyota,Tundra,Truck,Full-size Truck,Gasoline,19.0,25.0,381,6,2.8,5552,51153,Automatic,4WD,Japan,5,6.7,1.316
132,2004,Tesla,Model X,SUV,Midsize Luxury SUV,Electric,,,390,0,0.0,4664,69122,Automatic,4WD,USA,3,6.5,
133,2004,Subaru,BRZ,Coupe,Compact,Gasoline,27.0,36.0,127,3,0.9,3456,25459,Automatic,AWD,Japan,5,9.2,1.333
134,2005,Jeep,Gladiator,Truck,Midsize Truck,Gasoline,20.0,27.0,252,6,2.9,4656,32816,Automatic,4WD,USA,5,6.9,1.35
135,2022,Kia,Soul,Hatchback,Compact,Gasoline,29.0,37.0,134,4,1.5,2666,32083,Automatic,AWD,South Korea,5,4.4,1.276
136,2009,Volkswagen,Passat,Sedan,Midsize,Gasoline,30.0,37.0,185,4,1.5,3320,32533,Automatic,AWD,Germany,4,7.9,1.233
137,2004,Mazda,MX-5,Convertible,Compact,Gasoline,26.0,32.0,129,3,0.9,2981,20888,Automatic,AWD,Japan,4,7.2,1.231
138,2013,Mazda,CX-9,SUV,Midsize SUV,Gasoline,22.0,28.0,242,6,3.0,4589,50433,Automatic,4WD,Japan,5,8.0,1.273
139,2013,Ford,Explorer,SUV,Midsize SUV,Gasoline,23.0,31.0,224,6,2.9,4130,51904,Automatic,AWD,USA,5,6.7,1.348
140,2015,Mazda,Mazda2,Hatchback,Compact,Gasoline,31.0,42.0,139,4,1.6,3126,27426,Automatic,FWD,Japan,3,8.1,1.355
141,2018,Subaru,Ascent,SUV,Midsize SUV,Gasoline,25.0,34.0,264,4,1.5,4211,48272,Automatic,4WD,Japan,4,7.7,1.36
142,2014,Jeep,Compass,SUV,Midsize SUV,Gasoline,23.0,31.0,216,4,1.6,4403,43721,Automatic,RWD,USA,4,8.9,1.348
143,2022,Jeep,Commander,SUV,Midsize SUV,Gasoline,23.0,31.0,204,4,1.7,4004,51725,Automatic,FWD,USA,4,5.9,1.348
144,2024,Mazda,Mazda6,Sedan,Midsize,Gasoline,27.0,36.0,167,4,1.5,3300,37643,Manual,FWD,Japan,3,7.2,1.333
145,2006,Mazda,Mazda2,Hatchback,Compact,Gasoline,30.0,38.0,181,4,1.5,2965,24619,Manual,RWD,Japan,5,5.8,1.267
146,2001,GMC,Sonoma,Truck,Midsize Truck,Gasoline,20.0,25.0,271,6,3.0,4199,30705,Automatic,RWD,USA,4,7.6,1.25
147,2001,Chevrolet,Trax,SUV,Subcompact SUV,Gasoline,29.0,36.0,128,4,1.6,3045,24173,Manual,RWD,USA,5,8.7,1.241
148,2020,Mazda,CX-9,SUV,Midsize SUV,Gasoline,22.0,26.0,249,4,1.6,4091,43523,Automatic,FWD,Japan,4,6.4,1.182
149,2017,Mazda,CX-50,SUV,Midsize SUV,Gasoline,24.0,30.0,214,4,1.8,4024,42428,Automatic,AWD,Japan,4,9.3,1.25
150,2021,GMC,Sonoma,Truck,Midsize Truck,Gasoline,23.0,31.0,270,6,3.0,4560,47934,Automatic,FWD,USA,4,8.5,1.348
151,2018,Volvo,S90,Sedan,Midsize,Electric,,,307,0,0.0,3134,33820,Automatic,AWD,Sweden,5,6.5,
152,2023,Mazda,RX-8,Coupe,Compact,Gasoline,31.0,41.0,135,4,1.8,3203,31998,Automatic,RWD,Japan,5,6.9,1.323
153,2009,Ram,2500,Truck,Midsize Truck,Gasoline,21.0,26.0,287,4,1.8,4560,40741,Manual,RWD,USA,5,6.7,1.238
154,2006,Nissan,Frontier,Truck,Midsize Truck,Gasoline,20.0,26.0,297,4,1.4,4318,31233,Automatic,AWD,Japan,5,6.9,1.3
155,2023,Audi,TT,Coupe,Sports Luxury,Diesel,21.0,28.0,553,8,4.6,3450,95179,Automatic,AWD,Germany,5,7.6,1.333
156,2006,Tesla,Roadster,Convertible,Sports Luxury,Electric,,,933,0,0.0,3582,79827,Automatic,RWD,USA,5,8.2,
157,2008,Volkswagen,Golf,Hatchback,Compact,Gasoline,26.0,31.0,147,4,1.6,3323,27890,Manual,RWD,Germany,4,10.0,1.192
158,2008,BMW,3 Series,Sedan,Compact Luxury,Diesel,29.0,40.0,233,4,1.6,3500,49436,Automatic,RWD,Germany,4,8.5,1.379
159,2014,Dodge,Neon,Sedan,Midsize,Gasoline,27.0,33.0,173,4,1.6,3377,38853,Manual,FWD,USA,5,7.8,1.222
160,2013,Ford,F-150,Truck,Full-size Truck,Gasoline,16.0,21.0,390,6,3.0,5911,45077,Automatic,RWD,USA,5,9.1,1.312
161,2017,Toyota,Camry,Sedan,Midsize,Gasoline,30.0,37.0,195,4,1.6,3536,39495,Automatic,FWD,Japan,3,8.2,1.233
162,2016,Audi,TT,Coupe,Sports Luxury,Gasoline,20.0,27.0,555,10,6.1,3899,88625,Automatic,RWD,Germany,5,7.1,1.35
163,2002,Chevrolet,Silverado,Truck,Full-size Truck,Gasoline,14.0,16.0,398,8,4.4,5722,49039,Automatic,FWD,USA,5,7.9,1.143
164,2007,Lexus,RX,SUV,Midsize SUV,Gasoline,22.0,30.0,214,6,3.0,3858,48610,Manual,AWD,Japan,4,7.7,1.364
165,2006,Subaru,Outback,Wagon,Compact,Gasoline,28.0,35.0,116,3,1.0,3205,25179,Automatic,AWD,Japan,5,6.1,1.25
166,2016,BMW,5 Series,Sedan,Midsize Luxury,Diesel,27.0,37.0,353,6,2.9,4070,83891,Automatic,RWD,Germany,3,9.7,1.37
167,2015,Hyundai,Ioniq,Hatchback,Compact,Gasoline,26.0,33.0,189,4,1.5,2974,24408,Automatic,FWD,South Korea,5,8.3,1.269
168,2010,BMW,X1,SUV,Subcompact Luxury SUV,Gasoline,25.0,30.0,222,6,3.0,3505,37516,Automatic,RWD,Germany,3,6.8,1.2
169,2017,Chevrolet,Tahoe,SUV,Full-size SUV,Gasoline,14.0,19.0,298,4,1.6,5706,75751,Automatic,4WD,USA,5,8.2,1.357
170,2009,BMW,7 Series,Sedan,Full-size Luxury,Gasoline,20.0,25.0,474,10,5.9,4682,95349,Manual,RWD,Germany,5,10.0,1.25
171,2003,Audi,Q8,SUV,Full-size Luxury SUV,Gasoline,13.0,16.0,467,10,5.9,5537,95184,Automatic,4WD,Germany,4,5.7,1.231
172,2005,Dodge,Dart,Sedan,Midsize,Gasoline,24.0,33.0,179,4,1.5,3797,28677,Automatic,RWD,USA,4,7.6,1.375
173,2018,Volvo,V60,Wagon,Compact,Electric,,,321,0,0.0,3409,24812,Automatic,AWD,Sweden,4,8.3,
174,2021,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,14.0,17.0,315,6,3.0,5644,65250,Manual,RWD,USA,5,4.9,1.214
175,2022,Mazda,Mazda2,Hatchback,Compact,Gasoline,26.0,33.0,146,4,1.5,3296,31350,Automatic,FWD,Japan,5,6.2,1.269
176,2020,Ford,EcoSport,SUV,Subcompact SUV,Hybrid,44.0,61.0,122,3,1.1,3310,32235,Automatic,4WD,USA,4,7.6,1.386
177,2024,Jeep,Patriot,SUV,Midsize SUV,Gasoline,22.0,27.0,219,6,3.0,4192,59750,Automatic,4WD,USA,4,6.0,1.227
178,2011,Lexus,LX,SUV,Midsize SUV,Gasoline,26.0,31.0,221,4,1.5,3883,40486,Automatic,AWD,Japan,5,10.0,1.192
179,2016,Mercedes-Benz,GLE,SUV,Midsize Luxury SUV,Gasoline,19.0,24.0,352,6,3.0,4252,71953,Automatic,RWD,Germany,3,6.8,1.263
180,2012,Volvo,V90,Wagon,Compact,Gasoline,28.0,37.0,160,4,1.6,3421,23637,Manual,FWD,Sweden,4,7.0,1.321
